stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
all,442188,5.240802936070831,40.417483669403666,11.873315209002719,0.03021165153322058,0.3505446053304066,0.09770521450965403,11.778511101620673,sample,R10,qc_strict
ocean,321931,5.904716404729419,40.28426371578208,11.783638848368483,0.040550019833221505,0.38465166191391265,0.16468335226263728,11.76078316760497,sample,R10,qc_strict
land,120257,3.4634899573774605,40.77197450039604,12.113381071741172,0.018410796442041504,0.25874273697941325,0.04141386079695233,11.012242184082995,sample,R10,qc_strict
lat_tropics,184221,0.23751195713957282,28.091160551963014,7.647524895390988,0.04544035812507922,0.39713634963331695,0.07214322933692446,6.6166521858187135,sample,R10,qc_strict
lat_midlat,227841,7.786936540397143,45.1939663142817,14.158082578330728,0.026696777013589006,0.312207005325295,0.1272898653296001,14.398561520604812,sample,R10,qc_strict
lat_polar,30126,16.579767315224526,60.86715421831211,20.434545879148143,0.011784255128207823,0.23872148418742545,0.14113750816426535,22.603064467636646,sample,R10,qc_strict
dist_lt2km,338711,3.972403786417546,36.662000187564324,10.4839792253057,0.039156667275378955,0.3744420431494626,0.1178317329427814,10.315723322793644,sample,R10,qc_strict
dist_2_5km,100426,9.231970091623554,50.463711266283624,16.29391770042036,0.01016190568997124,0.2975104139997692,0.03756061849395142,16.388325344949102,sample,R10,qc_strict
dist_ge5km,3051,14.681573704565077,60.9675365433588,20.60486374092359,0.014490020870528916,0.26612318084523723,0.08759941876611495,21.162036552218094,sample,R10,qc_strict
tdiff_lt3min,176363,5.269831328074299,40.20726525340376,11.789229410405241,0.030457969421817655,0.355434310716554,0.1019580670406886,11.718572713449177,sample,R10,qc_strict
tdiff_ge3min,265825,5.221543896105035,40.556352913922936,11.92910237611659,0.030071682035004224,0.3473247440087028,0.09519031584315606,11.81634620938307,sample,R10,qc_strict
water_pure_pixel,0,,,,,,,,sample,R10,qc_strict
water_dominant_pixel,0,,,,,,,,sample,R10,qc_strict
mixed_pixel,0,,,,,,,,sample,R10,qc_strict
not_water_pixel,442188,5.240802936070831,40.417483669403666,11.873315209002719,0.03021165153322058,0.3505446053304066,0.09770521450965403,11.778511101620673,sample,R10,qc_strict
phase_agree_liquid,0,,,,,,,,sample,R10,qc_strict
phase_disagree_atlid_liquid,0,,,,,,,,sample,R10,qc_strict
atlid_radar_synergy,242017,2.7383032482450775,39.244786504745846,12.722174433927613,0.03142700629330601,0.31966656383084796,0.07597020227069544,11.938685787855547,sample,R10,qc_strict
atlid_only,200171,8.26645333971834,41.791413166727466,10.847000892550033,0.04679574691991885,0.30881494993334335,0.44609868775249717,10.464177157966152,sample,R10,qc_strict
tau_thin,64082,10.50129318370333,42.35102859414761,10.508564162189357,-0.01654012839167929,0.013802646413916198,-2.77868266333771,12.407816292019202,sample,R10,qc_strict
