stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
all,101409,12.37510055523688,54.0794592568081,18.037884032110476,0.01642333011421436,0.24833246288198282,0.1237645925538373,19.281771440344205,sample,R10,qc_strict
ocean,85775,11.725021036451079,52.20798857829675,17.0948556649215,0.026775226114428553,0.28500023910851396,0.19747199238331006,18.062467340433496,sample,R10,qc_strict
land,15634,15.94172270720389,63.37126111885206,23.21175240844632,-0.02682786124223564,0.06536870812942555,-0.22114120934967121,25.46889971124373,sample,R10,qc_strict
lat_tropics,5074,9.783114249452106,53.27761607937501,17.769589971963473,-0.022974330295684943,0.1605954696880434,-0.09602177405479996,18.000326325614566,sample,R10,qc_strict
lat_midlat,78469,11.56273269173043,52.299114144858216,17.415807827911173,0.02179676687101349,0.25353830832106683,0.16010339556306438,18.251698296363248,sample,R10,qc_strict
lat_polar,17866,16.679221925271566,61.48866158366053,20.846292278416353,0.019004887044396068,0.23629174069727632,0.23745615582832272,22.499062591649647,sample,R10,qc_strict
dist_lt2km,93127,11.782439138771792,52.95029043259354,17.504998283108335,0.017504187137533638,0.25348336703279345,0.12791385699677355,18.684643551809348,sample,R10,qc_strict
dist_2_5km,8218,19.099200576304828,65.53235236003087,24.046999842644194,0.010650017675665485,0.2045824982192979,0.110656293247123,25.7740765264303,sample,R10,qc_strict
dist_ge5km,64,11.34581552410964,53.64181153570478,21.836906162672676,0.3165180769574526,0.1654816727742009,2.8096306071236334,-5.211959541266308,sample,R10,qc_strict
tdiff_lt3min,40036,12.388599957575812,53.773213192806075,17.870541204379514,0.018359367560196307,0.24962677869860525,0.14279980986219992,19.07658012669009,sample,R10,qc_strict
tdiff_ge3min,61373,12.366294368932785,54.278304278118185,18.147048281064198,0.015237664564342328,0.24751491765090822,0.11264594419954362,19.40696395529792,sample,R10,qc_strict
water_pure_pixel,101402,12.373535969619905,54.075878536022664,18.036599861441186,0.016454914277831682,0.2483668076467747,0.12399497066097245,19.27875789007792,sample,R10,qc_strict
water_dominant_pixel,7,35.0396878027916,92.38311552932494,36.64038034745625,-0.21758402256437473,-0.10832781159274199,-6.257700124886906,48.20949338825436,sample,R10,qc_strict
mixed_pixel,0,,,,,,,,sample,R10,qc_strict
not_water_pixel,0,,,,,,,,sample,R10,qc_strict
phase_agree_liquid,77681,16.82267727609349,61.21357409724552,21.874264686339504,0.0055261813499612135,0.22779044256524622,0.050687289746026834,24.458238588930158,sample,R10,qc_strict
phase_disagree_atlid_liquid,23721,-2.19641242328826,15.145389121728757,5.469100967510644,0.07604741540553499,0.34604528098313897,0.11650516188041786,4.3031242458362975,sample,R10,qc_strict
atlid_radar_synergy,65166,10.150685444268705,51.32696839849068,17.096721031445885,0.027035375152457835,0.2504307325364339,0.17350065763519568,17.617327471001364,sample,R10,qc_strict
atlid_only,36243,16.374665578037206,58.704776279143836,19.730123308696538,0.016257591187308823,0.24541139774780094,0.20826585883254808,20.975553772375115,sample,R10,qc_strict
n_liq_eq1,0,,,,,,,,sample,R10,qc_strict
n_liq_eq2,0,,,,,,,,sample,R10,qc_strict
n_liq_3_4,0,,,,,,,,sample,R10,qc_strict
n_liq_ge5,101409,12.37510055523688,54.0794592568081,18.037884032110476,0.01642333011421436,0.24833246288198282,0.1237645925538373,19.281771440344205,sample,R10,qc_strict
het_cv_lt0p25,46868,10.202974788100795,51.05488550269981,16.81222332528866,0.015035729247986705,0.27327343295051676,0.11793188216404439,19.01535991739958,sample,R10,qc_strict
het_cv_0p25_0p75,43054,13.18836282090604,55.270855391048514,18.71915201973443,0.03055732207088626,0.21011475926710999,0.24303433133303334,18.453228664307627,sample,R10,qc_strict
het_cv_ge0p75,11487,18.18941211334728,61.104058895794445,20.48525532732797,-0.010873428279453458,0.09396893865789538,-0.09457715230654026,21.204101755886203,sample,R10,qc_strict
tau_thin,7525,19.348322961094983,59.95982217884502,19.356246172320596,-0.028794890783222882,0.0014708333235697822,-6.73405367247621,23.55129880966379,sample,R10,qc_strict
tau_mid,12497,13.585994177983881,49.917688514190075,13.94516151744454,-0.032435725443969686,0.028240805613921612,-2.657905384486426,20.80349444232359,sample,R10,qc_strict
tau_thick,51109,14.57215205202205,56.69887203547418,18.47905444649569,0.07199540433395532,0.1649235669436792,2.0302299916523423,7.821714629183546,sample,R10,qc_strict
tau_very_thick,28409,5.607551088145772,48.67129069295103,18.63269096358695,-0.021287461867610956,0.021916368234956237,-0.11842239689814438,22.754783409608027,sample,R10,qc_strict
all,102427,14.353868117850043,57.914080421379715,19.96522261348462,0.008712872591150563,0.22351223994576114,0.07036211699344798,21.65999227837822,sample,R11,qc_strict
ocean,84944,13.37766316125009,55.47032258378841,18.72105129864824,0.01581180999096613,0.25879533517422765,0.12320980782471623,20.297736147874254,sample,R11,qc_strict
land,17483,19.09691872892517,68.55872315813085,26.010231374421583,-0.016625379675581177,0.06735065611712054,-0.1535800173933912,27.975827796482587,sample,R11,qc_strict
lat_tropics,4999,13.554346190722246,60.04204170284921,21.33781835780775,0.002569378865372021,0.1451258267825442,0.01209127635239105,20.96290320879067,sample,R11,qc_strict
lat_midlat,79523,13.629092139840507,56.44213653606107,19.439038659120627,0.01150758587338149,0.22427559938347907,0.09126453444735548,20.862773128401603,sample,R11,qc_strict
lat_polar,17905,17.79610046708012,63.49457597951953,21.91898527626129,0.0029291129768697706,0.2307681689014328,0.03803643424913426,25.02118217628858,sample,R11,qc_strict
dist_lt2km,94199,13.699638629069538,56.723089836866144,19.37125576681423,0.010129286351721315,0.2291034882136523,0.0793812913912579,20.96603343579331,sample,R11,qc_strict
dist_2_5km,8167,21.953348159018194,70.25453484878425,26.828180600514102,0.0005750546259993451,0.1753139356236587,0.006394481830281797,29.365273431655364,sample,R11,qc_strict
