n_cut,cv_bin,cv_lo,cv_hi,n,bias,rmse,mae,r,r_log,slope,intercept,retrieval,qc_mode
1,"[0,0.25)",0.0,0.25,145746,4.789347800016734,40.16414486912944,11.988171516193106,0.03857945269158322,0.35985562745777133,0.16200444746113232,12.556453186076922,R10,qc_strict
1,"[0.25,0.75)",0.25,0.75,148287,6.408560383876898,41.76978349525644,12.019772855406343,0.029060910452981693,0.3102643414805066,0.14164749841181254,11.99979283329222,R10,qc_strict
1,"[0.75,inf)",0.75,inf,63733,8.559865326853195,42.55023330632551,11.045175285320576,-0.003835246115856326,0.2105632172899526,-0.024791900786092006,11.80761637303664,R10,qc_strict
3,"[0,0.25)",0.0,0.25,111089,5.439966618067741,41.47255754729354,12.48262492413658,0.041549107331781056,0.3460218293516653,0.20851051367086,12.979116514866691,R10,qc_strict
3,"[0.25,0.75)",0.25,0.75,121480,6.957028522659062,43.045938314755375,12.559739349966842,0.029356357744409412,0.29982433693674637,0.15782142089103557,12.568297765993007,R10,qc_strict
3,"[0.75,inf)",0.75,inf,45140,9.852948832558926,45.61011033968079,12.191675334758617,-0.00601681466381764,0.19173029369171832,-0.04555505417306652,13.148036035512588,R10,qc_strict
5,"[0,0.25)",0.0,0.25,47624,10.320770652270385,51.19822266052698,16.757038629505537,0.01635921201126181,0.2842561065249817,0.13495134954313107,18.929521911285295,R10,qc_strict
5,"[0.25,0.75)",0.25,0.75,43664,13.23692846854728,55.220220337548945,18.36197917365896,0.03436992863399246,0.2432117061844803,0.2983039610296539,18.095130177117962,R10,qc_strict
5,"[0.75,inf)",0.75,inf,11642,18.027698549579927,61.02544195275886,19.948175851365793,-0.021059908354767978,0.13476901257058874,-0.27882828247007474,21.951189290572152,R10,qc_strict
1,"[0,0.25)",0.0,0.25,145701,5.792106245341196,42.6855740958002,12.98276307052882,0.032926941790200746,0.33537277561674056,0.14656086526426948,13.682283976527781,R11,qc_strict
1,"[0.25,0.75)",0.25,0.75,149554,8.020839014776257,45.689402448440994,13.596845888900768,0.020098737176326917,0.2791033454368656,0.10685148988056639,13.847136536375574,R11,qc_strict
1,"[0.75,inf)",0.75,inf,63850,10.046526774562986,46.1628162463089,12.531935640671247,-0.003030302545368295,0.19571746760174039,-0.021051623936090183,13.30354755026287,R11,qc_strict
3,"[0,0.25)",0.0,0.25,111260,6.553939113354701,44.239035589928235,13.589141720663818,0.03353508425951327,0.322784863082444,0.17856487122313539,14.353745929982509,R11,qc_strict
3,"[0.25,0.75)",0.25,0.75,122784,8.704999039895936,47.2454336236935,14.268259438273466,0.020564679478112306,0.26788710898999046,0.12106492279943697,14.569505404842376,R11,qc_strict
3,"[0.75,inf)",0.75,inf,45287,11.376083805200496,48.95034895957756,13.699713716728313,-0.0041544614197985275,0.1833469731822335,-0.03337380928149893,14.651142107955692,R11,qc_strict
5,"[0,0.25)",0.0,0.25,47895,11.556114409257052,53.6239799939374,17.978122846503876,0.008891495991920061,0.2630586084048452,0.07704227775924585,20.683961208824098,R11,qc_strict
5,"[0.25,0.75)",0.25,0.75,44342,15.84798890934664,60.25166040058092,20.91075995208432,0.021185013971315312,0.21466781284895792,0.2003138248287942,21.403548193991387,R11,qc_strict
5,"[0.75,inf)",0.75,inf,11710,19.954116460626782,64.52539785020211,21.872655068230163,-0.02053498411520431,0.12097402717783123,-0.2871963283802602,23.909260073347557,R11,qc_strict
