stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
all,126762,-1.717293084130485,3.954292726840149,2.215281393215256,0.6635015894558025,0.6679988774341707,0.48661697423187394,1.2918287494661365,sample,R10,qc_strict
ocean,100748,-1.487007893521165,3.7251689091839384,1.9872900972696308,0.623064381553909,0.6319978834634383,0.44558864466805415,1.3041820042162224,sample,R10,qc_strict
land,26014,-2.609150252713087,4.7382352336214,3.098254680058105,0.6116369835344755,0.6150751900805558,0.4848506051861626,2.059960190962391,sample,R10,qc_strict
lat_tropics,37617,-3.162727800056859,5.573595475345744,3.4672562224201426,0.621400503999743,0.6658979054580096,0.4581148871519108,1.2781956164868724,sample,R10,qc_strict
lat_midlat,76143,-1.2060448625146414,3.1528373546006216,1.7754888778808489,0.682964956146376,0.6664172699505642,0.5410016140288966,1.113756162038197,sample,R10,qc_strict
lat_polar,13002,-0.5294031925363311,2.0872339393968224,1.1686412105439405,0.6652876598079759,0.6662210119056975,0.5204646312276288,1.3103820623764653,sample,R10,qc_strict
cth_low,56686,0.07391989001573096,0.9876884363567235,0.5778136187309282,0.4000861332255365,0.4911005045472992,0.7765047699830351,0.4595397052399807,sample,R10,qc_strict
cth_mid,23899,-0.6106294239198308,1.9533565582097387,1.3070511726088463,0.3841073277851641,0.2516795081040917,0.6432064715207213,1.1464650240385006,sample,R10,qc_strict
cth_high,46177,-4.488907815876308,6.304900312303554,4.695461836004767,0.17243767099590085,0.07031325998572222,0.23493613732960372,4.250687545444868,sample,R10,qc_strict
dist_lt2km,88384,-1.8926679592277038,4.168051125911737,2.339497795533458,0.6510401696523586,0.661442494579644,0.46796893330316164,1.2802587830592773,sample,R10,qc_strict
dist_2_5km,37044,-1.33348387709588,3.438045419394954,1.9475479977535035,0.7031050482558058,0.6897551212202582,0.5438859733425943,1.2525632606195454,sample,R10,qc_strict
dist_ge5km,1334,-0.7558952616397441,2.564765016508694,1.4200590536299778,0.7047399798729853,0.6755584347780578,0.5476775977450177,1.2321648329522814,sample,R10,qc_strict
tdiff_lt3min,50479,-1.7202053814854301,3.953323924449524,2.2208078459317675,0.6619318274487929,0.6656436436969908,0.48366018760239077,1.2833801313324462,sample,R10,qc_strict
tdiff_ge3min,76283,-1.7153659200417597,3.954933685145869,2.2116243555177775,0.6644906644326836,0.6695138125484533,0.4885028615356761,1.2976920578185085,sample,R10,qc_strict
class_thick,109439,-1.0124696453735833,3.0400151677135345,1.5790043163558898,0.7706865328804791,0.7774745763094499,0.5991945552642675,1.0839750813137627,sample,R10,qc_strict
class_thin,0,,,,,,,,sample,R10,qc_strict
class_thin_over_thick,1147,-1.4262294480027509,3.392851628849182,1.8427249305165245,0.6898740260351576,0.70567781165086,0.5437804070618512,0.9980924622793999,sample,R10,qc_strict
class_thick_over_thick,16176,-6.506426510487751,7.693675079058229,6.546441709555985,0.39746006552981383,0.3253025596589694,0.3214708968320726,0.39266680139721266,sample,R10,qc_strict
all,127837,-1.723805756461028,3.95933279301354,2.2386676206079876,0.6639503457297145,0.662863907408065,0.48542275907376875,1.3050245956206297,sample,R11,qc_strict
ocean,99911,-1.4943216854089971,3.7360171954165797,2.0126702389300957,0.624427905045279,0.6246399069836966,0.4453199761624466,1.3162606445375866,sample,R11,qc_strict
land,27926,-2.544832148456998,4.671677757788222,3.0472196653268826,0.6270573236930216,0.6415996574802517,0.49147962085895686,1.9384237786403906,sample,R11,qc_strict
lat_tropics,37453,-3.1986400611297494,5.590260861910304,3.5129373013356786,0.6215673911488596,0.6633993276433083,0.45589768880670156,1.3128546026512258,sample,R11,qc_strict
lat_midlat,77343,-1.208058239593189,3.1641270191640047,1.7957709718222035,0.6804062573530257,0.6579654458006399,0.5389466979687051,1.1278246347474459,sample,R11,qc_strict
lat_polar,13041,-0.5469397940618002,2.1312290389204707,1.2057509082964106,0.6654757396960218,0.6571151966846575,0.5193649583006371,1.297994856360072,sample,R11,qc_strict
cth_low,56759,0.0926697153515332,1.0086058104586555,0.5942649734381741,0.3893024443713193,0.47231057345637206,0.764476120194627,0.4971637827526954,sample,R11,qc_strict
cth_mid,24132,-0.6246506453679133,1.9683140436846072,1.3244748553691112,0.3820596109598798,0.24882419039469936,0.6402935946461407,1.1469318286173356,sample,R11,qc_strict
cth_high,46946,-4.484981201557697,6.282211697414187,4.696724742864538,0.17384100264884103,0.0729196717284024,0.23537911941576617,4.247008643045988,sample,R11,qc_strict
dist_lt2km,88922,-1.8928269054694735,4.1619305055038875,2.3568007398630813,0.6527880885192727,0.6569668465429621,0.4677624247470023,1.2911719291973742,sample,R11,qc_strict
dist_2_5km,37600,-1.356941868676386,3.478413035760914,1.9870408311600396,0.6990331543974804,0.6821145794566591,0.5383267060572553,1.2793913014366085,sample,R11,qc_strict
