dt_min,dist_km,n,bias,rmse,r
15,1,48540,-0.5607905806041983,2.1117203889991303,0.5986116918238216
15,2,48798,-0.5612909169113512,2.1129793107367343,0.5984828064781482
15,3,48798,-0.5612909169113512,2.1129793107367343,0.5984828064781482
30,1,97580,-0.5470439680549439,2.082529150376434,0.5960627283279829
30,2,98143,-0.5469451516846547,2.0827681294339353,0.5961923691565273
30,3,98143,-0.5469451516846547,2.0827681294339353,0.5961923691565273
45,1,140437,-0.5726562654533522,2.0989561532733334,0.5824994381006235
45,2,141217,-0.572404845570729,2.098660201811979,0.582682353894169
45,3,141217,-0.572404845570729,2.098660201811979,0.582682353894169
60,1,168722,-0.5721508993407115,2.098367226265544,0.5771686574463462
60,2,169627,-0.5721082962260204,2.098254713200648,0.5773502296832792
60,3,169627,-0.5721082962260204,2.098254713200648,0.5773502296832792
